Code,Office,VoterCount
03-0170-000,"VILLAGE OF BURNHAM",2689
03-0180-000,"VILLAGE OF BURR RIDGE",3517
03-0190-000,"CITY OF CALUMET CITY",23700
03-0200-000,"VILLAGE OF CALUMET PARK",5521
03-0220-000,"CITY OF CHICAGO HEIGHTS",15904
03-0230-000,"VILLAGE OF CHICAGO RIDGE",7479
03-0240-000,"CITY OF COUNTRY CLUB HILLS",12333
03-0250-000,"CITY OF COUNTRYSIDE",4166
03-0260-000,"VILLAGE OF CRESTWOOD",7446
03-0270-000,"VILLAGE OF DEER PARK",13
03-0280-000,"VILLAGE OF DEERFIELD",338
03-0290-000,"CITY OF DES PLAINES",37548
03-0300-000,"VILLAGE OF DIXMOOR",1761
03-0310-000,"VILLAGE OF DOLTON",16096
03-0330-000,"VILLAGE OF EAST HAZEL CREST",914
03-0340-000,"CITY OF ELGIN",12107
03-0350-000,"VILLAGE OF ELK GROVE VILLAGE",22136
03-0370-000,"VILLAGE OF ELMWOOD PARK",14799
03-0380-000,"CITY OF EVANSTON",51646
03-0390-000,"VILLAGE OF EVERGREEN PARK",14278
03-0400-000,"VILLAGE OF FLOSSMOOR",8032
03-0410-000,"VILLAGE OF FORD HEIGHTS",1411
03-0420-000,"VILLAGE OF FOREST PARK",10162
03-0430-000,"VILLAGE OF FOREST VIEW",476
03-0450-000,"VILLAGE OF FRANKLIN PARK",10005
03-0460-000,"VILLAGE OF GLENCOE",6952
03-0470-000,"VILLAGE OF GLENVIEW",34767
03-0480-000,"VILLAGE OF GLENWOOD",6732
03-0490-000,"VILLAGE OF GOLF",374
03-0500-000,"VILLAGE OF HANOVER PARK",9137
03-0510-000,"CITY OF HARVEY",12700
03-0520-000,"VILLAGE OF HARWOOD HEIGHTS",5201
03-0530-000,"VILLAGE OF HAZEL CREST",9837
03-0540-000,"CITY OF HICKORY HILLS",8334
03-0550-000,"VILLAGE OF HILLSIDE",5257
03-0560-000,"VILLAGE OF HINSDALE",1610
03-0570-000,"VILLAGE OF HODGKINS",844
03-0580-000,"VILLAGE OF HOFFMAN ESTATES",32017
03-0590-000,"CITY OF HOMETOWN",2827
03-0600-000,"VILLAGE OF HOMEWOOD",14962
03-0610-000,"VILLAGE OF INDIAN HEAD PARK",3068
03-0630-000,"VILLAGE OF INVERNESS",5998
03-0640-000,"VILLAGE OF JUSTICE",6312
03-0650-000,"VILLAGE OF KENILWORTH",1938
03-0660-000,"VILLAGE OF LAGRANGE",11883
03-0670-000,"VILLAGE OF LA GRANGE PARK",9906
03-0680-000,"VILLAGE OF LANSING",20268
03-0690-000,"VILLAGE OF LEMONT",12673
03-0700-000,"VILLAGE OF LINCOLNWOOD",9644
03-0710-000,"VILLAGE OF LYNWOOD",6727
03-0720-000,"VILLAGE OF LYONS",6266
03-0730-000,"CITY OF MARKHAM",8362
03-0740-000,"VILLAGE OF MATTESON",14418
03-0750-000,"VILLAGE OF MAYWOOD",14446
03-0760-000,"VILLAGE OF MCCOOK",156
03-0770-000,"VILLAGE OF MELROSE PARK",10757
03-0780-000,"VILLAGE OF MERRIONETTE PARK",1238
03-0800-000,"VILLAGE OF MIDLOTHIAN",8833
03-0810-000,"VILLAGE OF MORTON GROVE",16888
03-0820-000,"VILLAGE OF MOUNT PROSPECT",33641
03-0830-000,"VILLAGE OF NILES",18942
03-0840-000,"VILLAGE OF NORRIDGE",9383
03-0850-000,"CITY OF NORTHLAKE",6770
03-0860-000,"VILLAGE OF NORTH RIVERSIDE",4923
03-0870-000,"VILLAGE OF NORTHBROOK",27182
03-0880-000,"VILLAGE OF NORTHFIELD",4673
03-0890-000,"VILLAGE OF OAK BROOK",9
03-0900-000,"CITY OF OAK FOREST",18120
03-0910-000,"VILLAGE OF OAK LAWN",38027
03-0920-000,"VILLAGE OF OAK PARK",39564
03-0930-000,"VILLAGE OF OLYMPIA FIELDS",4106
03-0940-000,"VILLAGE OF ORLAND HILLS",4631
03-0950-000,"VILLAGE OF ORLAND PARK",43231
03-0960-000,"VILLAGE OF PALATINE",43287
03-0970-000,"CITY OF PALOS HEIGHTS",9470
03-0980-000,"CITY OF PALOS HILLS",11193
03-0990-000,"VILLAGE OF PALOS PARK",3815
03-1000-000,"VILLAGE OF PARK FOREST",12952
03-1010-000,"CITY OF PARK RIDGE",29031
03-1020-000,"VILLAGE OF PHOENIX",1348
03-1030-000,"VILLAGE OF POSEN",2707
03-1040-000,"CITY OF PROSPECT HEIGHTS",8185
03-1050-000,"VILLAGE OF RICHTON PARK",9022
03-1060-000,"VILLAGE OF RIVER FOREST",8257
03-1070-000,"VILLAGE OF RIVER GROVE",5509
03-1080-000,"VILLAGE OF RIVERDALE",7669
03-1090-000,"VILLAGE OF RIVERSIDE",6836
03-1100-000,"VILLAGE OF ROBBINS",3517
03-1110-000,"CITY OF ROLLING MEADOWS",13832
03-1120-000,"VILLAGE OF ROSELLE",2411
03-1130-000,"VILLAGE OF ROSEMONT",2010
03-1140-000,"VILLAGE OF SAUK VILLAGE",6165
03-1150-000,"VILLAGE OF SCHAUMBURG",45851
03-1160-000,"VILLAGE OF SCHILLER PARK",5840
03-1170-000,"VILLAGE OF SKOKIE",43705
03-1180-000,"VILLAGE OF SOUTH BARRINGTON",3969
03-1190-000,"VILLAGE OF SOUTH CHICAGO HEIGHTS",2171
03-1200-000,"VILLAGE OF SOUTH HOLLAND",16861
03-1210-000,"VILLAGE OF STEGER",2643
03-1220-000,"VILLAGE OF STICKNEY",3746
03-1230-000,"VILLAGE OF STONE PARK",1618
03-1240-000,"VILLAGE OF STREAMWOOD",23075
03-1250-000,"VILLAGE OF SUMMIT",4726
03-1260-000,"VILLAGE OF THORNTON",1703
03-1270-000,"VILLAGE OF TINLEY PARK",34871
03-1280-000,"VILLAGE OF UNIVERSITY PARK",178
03-1290-000,"VILLAGE OF WESTCHESTER",12774
03-1300-000,"VILLAGE OF WESTERN SPRINGS",10373
03-1310-000,"VILLAGE OF WHEELING",19426
03-1320-000,"VILLAGE OF WILLOW SPRINGS",4302
03-1330-000,"VILLAGE OF WILMETTE",21265
03-1340-000,"VILLAGE OF WINNETKA",9784
03-1350-000,"VILLAGE OF WORTH",6257
03-C210-000,"TOWN OF CICERO",33050
04-0030-000,"COMMUNITY CONSOLIDATED SCHOOL DISTRICT 15",74140
04-0040-000,"COMMUNITY CONSOLIDATED SCHOOL DISTRICT 21",36736
04-0050-000,"PROSPECT HEIGHTS SCHOOL DISTRICT 23",12661
04-0070-000,"ARLINGTON HEIGHTS SCHOOL DISTRICT NUMBER 25",36534
04-0080-000,"RIVER TRAILS SCHOOL DISTRICT 26",10163
04-0090-000,"NORTHBROOK SCHOOL DISTRICT 27",8953
04-0100-000,"NORTHBROOK SCHOOL DISTRICT 28",11246
04-0110-000,"SUNSET RIDGE SCHOOL DISTRICT 29",3621
04-0120-000,"NORTHBROOK/GLENVIEW SCHOOL DISTRICT 30",8519
04-0130-000,"WEST NORTHFIELD SCHOOL DISTRICT 31",6865
04-0140-000,"GLENVIEW COMMUNITY CONSOLIDATED SCHOOL DISTRICT 34",30105
04-0150-000,"GLENCOE SCHOOL DISTRICT 35",6773
04-0160-000,"WINNETKA SCHOOL DISTRICT 36",9587
04-0170-000,"AVOCA SCHOOL DISTRICT 37",4996
04-0180-000,"KENILWORTH SCHOOL DISTRICT 38",2261
04-0190-000,"WILMETTE SCHOOL DISTRICT 39",20450
04-0210-000,"SCHAUMBURG COMMUNITY CONSOLIDATED SCHOOL DISTRICT 54",81400
04-0220-000,"MOUNT PROSPECT SCHOOL DISTRICT 57",15222
04-0230-000,"COMMUNITY CONSOLIDATED SCHOOL DISTRICT 59",35311
04-0240-000,"DES PLAINES COMMUNITY CONSOLIDATED SCHOOL DISTRICT 62",31937
04-0250-000,"EAST MAINE SCHOOL DISTRICT NUMBER 63",26128
04-0260-000,"COMMUNITY CONSOLIDATED SCHOOL DISTRICT 64",31397
04-0270-000,"EVANSTON/SKOKIE SCHOOL DISTRICT 65",57764
04-0280-000,"GOLF SCHOOL DISTRICT 67",4836
04-0290-000,"SKOKIE SCHOOL DISTRICT 68",14109
04-0300-000,"SKOKIE SCHOOL DISTRICT 69",10978
04-0310-000,"MORTON GROVE SCHOOL DISTRICT 70",6840
04-0320-000,"NILES ELEMENTARY SCHOOL DISTRICT 71",5124
04-0330-000,"FAIRVIEW SCHOOL DISTRICT 72",4503
04-0340-000,"EAST PRAIRIE SCHOOL DISTRICT 73",3188
04-0350-000,"SKOKIE SCHOOL DISTRICT 73.5",6927
04-0360-000,"LINCOLNWOOD SCHOOL DISTRICT 74",9644
04-0370-000,"ROSEMONT SCHOOL DISTRICT 78",1704
04-0380-000,"PENNOYER SCHOOL DISTRICT 79",3760
04-0390-000,"NORRIDGE SCHOOL DISTRICT 80",8000
04-0400-000,"SCHILLER PARK SCHOOL DISTRICT 81",6721
04-0410-000,"MANNHEIM SCHOOL DISTRICT 83",10944
04-0420-000,"FRANKLIN PARK SCHOOL DISTRICT 84",6338
04-0430-000,"RHODES SCHOOL DISTRICT 84.5",2167
04-0450-000,"RIVER GROVE SCHOOL DISTRICT NO. 85 1/2",4149
04-0460-000,"UNION RIDGE SCHOOL DISTRICT 86",3519
04-0470-000,"BERKELEY SCHOOL DISTRICT 87",12854
04-0480-000,"BELLWOOD SCHOOL DISTRICT 88",13726
04-0490-000,"MAYWOOD-MELROSE PARK-BROADVIEW SCHOOL DISTRICT 89",24017
04-0500-000,"RIVER FOREST SCHOOL DISTRICT 90",8257
04-0510-000,"FOREST PARK SCHOOL DISTRICT 91",10109
04-0520-000,"LINDOP SCHOOL DISTRICT 92",3100
04-0530-000,"WESTCHESTER SCHOOL DISTRICT 92 1/2",12006
04-0540-000,"HILLSIDE SCHOOL DISTRICT 93",3841
04-0550-000,"KOMAREK SCHOOL DISTRICT 94",3567
04-0560-000,"BROOKFIELD-LA GRANGE PARK SCHOOL DISTRICT 95",8077
04-0570-000,"RIVERSIDE SCHOOL DISTRICT 96",10484
04-0580-000,"OAK PARK SCHOOL DISTRICT 97",39564
04-0590-000,"BERWYN (NORTH) SCHOOL DISTRICT 98",12700
04-0600-000,"CICERO PUBLIC SCHOOL DISTRICT 99",33079
04-0610-000,"BERWYN SOUTH SCHOOL DISTRICT 100",18064
04-0620-000,"WESTERN SPRINGS SCHOOL DISTRICT 101",7929
04-0630-000,"LA GRANGE SCHOOL DISTRICT 102",19214
04-0640-000,"LYONS ELEMENTARY SCHOOL DISTRICT 103",13049
04-0650-000,"SUMMIT SCHOOL DISTRICT 104",5551
04-0660-000,"LAGRANGE ELEMENTARY SCHOOL DISTRICT 105",7884
04-0670-000,"LA GRANGE HIGHLANDS SCHOOL DISTRICT 106",7674
04-0680-000,"PLEASANTDALE SCHOOL DISTRICT 107",6521
04-0690-000,"WILLOW SPRINGS SCHOOL DISTRICT NUMBER 108",2577
04-0700-000,"INDIAN SPRINGS SCHOOL DISTRICT 109",12551
04-0710-000,"CENTRAL STICKNEY SCHOOL DISTRICT 110",1431
04-0720-000,"BURBANK SCHOOL DISTRICT 111",16585
04-0740-000,"LEMONT-BROMBEREK COMBINED SCHOOL DISTRICT 113A",16317
04-0750-000,"NORTH PALOS SCHOOL DISTRICT 117",16917
04-0760-000,"PALOS COMMUNITY CONSOLIDATED SCHOOL DISTRICT 118",17536
04-0770-000,"RIDGELAND SCHOOL DISTRICT 122",12921
04-0780-000,"OAK LAWN-HOMETOWN SCHOOL DISTRICT 123",23999
04-0790-000,"EVERGREEN PARK SCHOOL DISTRICT 124",14278
04-0800-000,"ATWOOD HEIGHTS SCHOOL DISTRICT 125",4826
04-0810-000,"ALSIP, HAZELGREEN & OAK LAWN SCHOOL DISTRICT 126",11000
04-0820-000,"WORTH SCHOOL DISTRICT 127",6552
04-0830-000,"CHICAGO RIDGE SCHOOL DISTRICT 127 1/2",7263
04-0840-000,"PALOS HEIGHTS SCHOOL DISTRICT 128",7437
04-0850-000,"COOK COUNTY SCHOOL DISTRICT NO. 130",17152
04-0860-000,"CALUMET PUBLIC SCHOOL DISTRICT 132",7152
04-0870-000,"GENERAL GEORGE S. PATTON SCHOOL DISTRICT 133",1002
04-0880-000,"ORLAND SCHOOL DISTRICT 135",41651
04-0920-000,"SCHOOL DISTRICT NUMBER 140",25420
04-0930-000,"FOREST RIDGE SCHOOL DISTRICT 142",10960
04-0940-000,"MIDLOTHIAN SCHOOL DISTRICT 143",8733
04-0950-000,"POSEN-ROBBINS SCHOOL DISTRICT 143 1/2",6756
04-0960-000,"PRAIRIE HILLS ELEMENTARY SCHOOL DISTRICT NO 144",14838
04-0970-000,"ARBOR PARK SCHOOL DISTRICT 145",7822
04-0980-000,"COMMUNITY CONSOLIDATED SCHOOL DISTRICT 146",18600
04-0990-000,"WEST HARVEY-DIXMOOR SCHOOL DISTRICT 147",5870
04-1000-000,"DOLTON SCHOOL DISTRICT NUMBER 148",13952
04-1010-000,"DOLTON SCHOOL DISTRICT 149",20240
04-1020-000,"SOUTH HOLLAND SCHOOL DISTRICT 150",8520
04-1030-000,"SOUTH HOLLAND SCHOOL DISTRICT 151",8746
04-1040-000,"HARVEY SCHOOL DISTRICT 152",8621
04-1050-000,"HAZEL CREST SCHOOL DISTRICT 152 1/2",4909
04-1060-000,"HOMEWOOD SCHOOL DISTRICT 153",12649
04-1070-000,"COOK COUNTY SCHOOL DISTRICT 154",2010
04-1080-000,"BURNHAM SCHOOL DISTRICT 154 1/2",911
04-1090-000,"CALUMET CITY SCHOOL DISTRICT 155",7025
04-1100-000,"LINCOLN SCHOOL DISTRICT 156",3779
04-1110-000,"HOOVER SCHRUM MEMORIAL SCHOOL DISTRICT 157",5241
04-1120-000,"LANSING SCHOOL DISTRICT NUMBER 158",16110
04-1130-000,"ELEMENTARY SCHOOL DISTRICT 159",15359
04-1140-000,"COUNTRY CLUB HILLS SCHOOL DISTRICT 160",9399
04-1150-000,"FLOSSMOOR SCHOOL DISTRICT 161",17027
04-1160-000,"MATTESON SCHOOL DISTRICT 162",17867
04-1170-000,"PARK FOREST SCHOOL DISTRICT 163",10667
04-1180-000,"BROOKWOOD SCHOOL DISTRICT 167",7691
04-1190-000,"COMMUNITY CONSOLIDATED SCHOOL DISTRICT 168",5885
04-1200-000,"FORD HEIGHTS SCHOOL DISTRICT 169",1405
04-1210-000,"CHICAGO HEIGHTS SCHOOL DISTRICT 170",11773
04-1220-000,"SUNNYBROOK SCHOOL DISTRICT 171",8646
04-1230-000,"SANDRIDGE SCHOOL DISTRICT NO 172",2508
04-1260-000,"COMMUNITY CONSOLIDATED SCHOOL DISTRICT NO 181",2493
04-1270-000,"STEGER SCHOOL DISTRICT 194",5054
04-2010-000,"HINSDALE TOWNSHIP HIGH SCHOOL DISTRICT 86",2493
04-2020-000,"OAK PARK AND RIVER FOREST HIGH SCHOOL DISTRICT 200",47821
04-2030-000,"J. STERLING MORTON HIGH SCHOOL DISTRICT 201",74308
04-2040-000,"EVANSTON TOWNSHIP HIGH SCHOOL DISTRICT 202",57764
04-2050-000,"NEW TRIER TOWNSHIP HIGH SCHOOL DISTRICT 203",47688
04-2060-000,"LYONS TOWNSHIP HIGH SCHOOL DISTRICT 204",51806
04-2070-000,"THORNTON TOWNSHIP HIGH SCHOOL DISTRICT NUMBER 205",74444
04-2080-000,"BLOOM TOWNSHIP HIGH SCHOOL DISTRICT 206",32696
04-2090-000,"MAINE TOWNSHIP HIGH SCHOOL DISTRICT 207",94092
04-2100-000,"RIVERSIDE-BROOKFIELD HIGH SCHOOL DISTRICT NO 208",21669
04-2110-000,"PROVISO TOWNSHIP HIGH SCHOOL DISTRICT 209",78150
04-2120-000,"LEMONT TOWNSHIP HIGH SCHOOL DISTRICT 210",16317
04-2130-000,"TOWNSHIP HIGH SCHOOL DISTRICT 211",146022
04-2140-000,"LEYDEN HIGH SCHOOL DISTRICT 212",33696
04-2150-000,"TOWNSHIP HIGH SCHOOL DISTRICT 214",155156
04-2160-000,"THORNTON FRACTIONAL TOWNSHIP HIGH SCHOOL DISTRICT 215",40469
04-2170-000,"ARGO COMMUNITY HIGH SCHOOL DISTRICT 217",20524
04-2180-000,"COMMUNITY HIGH SCHOOL DISTRICT 218",75943
04-2200-000,"NILES TOWNSHIP HIGH SCHOOL DISTRICT 219",66349
04-2210-000,"REAVIS HIGH SCHOOL DISTRICT 220",18016
04-2220-000,"NORTHFIELD TOWNSHIP HIGH SCHOOL DISTRICT 225",65488
04-2230-000,"RICH TOWNSHIP HIGH SCHOOL DISTRICT 227",49983
04-2240-000,"BREMEN COMMUNITY HIGH SCHOOL DISTRICT 228",60124
04-2250-000,"OAK LAWN COMMUNITY HIGH SCHOOL DISTRICT NO. 229",25379
04-2260-000,"CONSOLIDATED HIGH SCHOOL DISTRICT 230",111063
04-2270-000,"EVERGREEN PARK COMMUNITY HIGH SCHOOL DISTRICT 231",14278
04-2290-000,"HOMEWOOD-FLOSSMOOR COMMUNITY HIGH SCHOOL DISTRICT 233",30455
04-2300-000,"RIDGEWOOD HIGH SCHOOL DISTRICT 234",11927
04-3010-000,"COMMUNITY COLLEGE DISTRICT 502, COLLEGE OF DUPAGE",54299
04-3020-000,"TRITON COMMUNITY COLLEGE DISTRICT 504",211423
04-3040-000,"ELGIN COMMUNITY COLLEGE DISTRICT 509",57629
04-3050-000,"SOUTH SUBURBAN COMMUNITY COLLEGE DISTRICT 510",173365
04-3060-000,"HARPER COMMUNITY COLLEGE DISTRICT 512",312606
04-3070-000,"PRAIRIE STATE COMMUNITY COLLEGE DISTRICT 515",113134
04-3080-000,"MORAINE VALLEY COMMUNITY COLLEGE DISTRICT 524",266875
04-3090-000,"JOLIET JUNIOR COMMUNITY COLLEGE DISTRICT 525",16317
04-3100-000,"MORTON COMMUNITY COLLEGE DISTRICT 527",74308
04-3110-000,"OAKTON COMMUNITY COLLEGE DISTRICT 535",328519
04-4010-000,"UNIT SCHOOL DISTRICT 46",54260
04-4020-000,"ELMHURST COMMUNITY UNIT SCHOOL DISTRICT 205",9
04-4030-000,"BARRINGTON COMMUNITY UNIT SCHOOL DISTRICT NO 220",15175
04-4070-000,"COMMUNITY UNIT SCHOOL DISTRICT NO 300",112
04-4080-000,"ELMWOOD PARK UNIT SCHOOL DISTRICT NO 401",14799
05-0010-000,"ALSIP PARK DISTRICT",12156
05-0020-000,"ARLINGTON HEIGHTS PARK DISTRICT",50752
05-0030-000,"BARRINGTON HILLS PARK DISTRICT",1611
05-0040-000,"BARRINGTON PARK DISTRICT",5055
05-0050-000,"BARTLETT PARK DISTRICT",10831
05-0060-000,"BEDFORD PARK PARK DISTRICT",828
05-0080-000,"BERKELEY PARK DISTRICT",2809
05-0090-000,"BERWYN PARK DISTRICT",18064
05-0100-000,"BLUE ISLAND PARK DISTRICT",12142
05-0110-000,"BRIDGEVIEW PARK DISTRICT",7945
05-0120-000,"BROADVIEW PARK DISTRICT",5853
05-0130-000,"BUFFALO GROVE PARK DISTRICT",10128
05-0140-000,"BURBANK PARK DISTRICT",16585
05-0150-000,"BURR RIDGE PARK DISTRICT",883
05-0160-000,"CALUMET MEMORIAL PARK DISTRICT",27792
05-0180-000,"CENTRAL STICKNEY PARK DISTRICT",1426
05-0190-000,"CHICAGO HEIGHTS PARK DISTRICT",15898
05-0210-000,"CHICAGO RIDGE PARK DISTRICT",7479
05-0220-000,"CLYDE PARK DISTRICT",27296
05-0230-000,"COMMUNITY PARK DISTRICT OF LAGRANGE PARK",9906
05-0240-000,"COUNTRY CLUB HILLS PARK DISTRICT",12396
05-0270-000,"DEERFIELD PARK DISTRICT",337
05-0280-000,"DES PLAINES PARK DISTRICT",32783
05-0300-000,"DOLTON PARK DISTRICT",16702
05-0320-000,"ELK GROVE PARK DISTRICT",20773
05-0330-000,"ELMHURST PARK DISTRICT",79
05-0345-000,"FORD HEIGHTS PARK DISTRICT",1411
05-0350-000,"FOREST PARK PARK DISTRICT",10130
05-0360-000,"FOREST VIEW PARK DISTRICT",476
05-0380-000,"FRANKFORT SQUARE PARK DISTRICT",548
05-0390-000,"GLENCOE PARK DISTRICT",6861
05-0400-000,"GLENVIEW PARK DISTRICT",42694
05-0410-000,"GOLF MAINE PARK DISTRICT",8026
05-0420-000,"HANOVER PARK PARK DISTRICT",6972
05-0430-000,"HARVEY PARK DISTRICT",12700
05-0440-000,"HAWTHORNE PARK DISTRICT",5754
05-0450-000,"HAZEL CREST PARK DISTRICT",9837
05-0460-000,"HICKORY HILLS PARK DISTRICT",10013
05-0470-000,"HODGKINS PARK DISTRICT",844
05-0480-000,"HOFFMAN ESTATES PARK DISTRICT",33452
05-0490-000,"HOMEWOOD-FLOSSMOOR PARK DISTRICT",23707
05-0500-000,"INVERNESS PARK DISTRICT",2939
05-0520-000,"JUSTICE PARK DISTRICT",4870
05-0530-000,"KENILWORTH PARK DISTRICT",1901
05-0540-000,"PARK DISTRICT OF LAGRANGE",12026
05-0550-000,"LAN OAK PARK DISTRICT",20200
05-0560-000,"LEMONT PARK DISTRICT",16317
05-0570-000,"LIGHTHOUSE PARK DISTRICT",1966
05-0580-000,"MARKHAM PARK DISTRICT",8299
05-0600-000,"MAYWOOD PARK DISTRICT",14446
05-0610-000,"MCCOOK PARK DISTRICT",156
05-0630-000,"MEMORIAL PARK DISTRICT",20084
05-0640-000,"MIDLOTHIAN PARK DISTRICT",8833
05-0660-000,"MORTON GROVE PARK DISTRICT",16729
05-0670-000,"MT. PROSPECT PARK DISTRICT",33770
05-0680-000,"NILES PARK DISTRICT",15878
05-0690-000,"NORRIDGE PARK DISTRICT",10032
05-0700-000,"NORTH BERWYN PARK DISTRICT",12700
05-0710-000,"NORTHBROOK PARK DISTRICT",27357
05-0720-000,"NORTHFIELD PARK DISTRICT",3594
05-0730-000,"OAK BROOK PARK DISTRICT",9
05-0740-000,"OAK FOREST PARK DISTRICT",17114
05-0750-000,"OAK LAWN PARK DISTRICT",37782
05-0760-000,"OAK PARK PARK DISTRICT",39564
05-0770-000,"OLYMPIA FIELDS PARK DISTRICT",3810
05-0780-000,"PALATINE PARK DISTRICT",49591
05-0800-000,"PARK DISTRICT OF FRANKLIN PARK",7340
05-0810-000,"PARK RIDGE PARK DISTRICT",29428
05-0820-000,"PHOENIX PARK DISTRICT",1348
05-0830-000,"PLEASANT DALE PARK DISTRICT",7166
05-0850-000,"POSEN PARK DISTRICT",2591
05-0860-000,"PROSPECT HEIGHTS PARK DISTRICT",7578
05-0880-000,"RIDGEVILLE PARK DISTRICT",14150
05-0890-000,"RIVER FOREST PARK DISTRICT",8257
05-0900-000,"RIVER TRAILS PARK DISTRICT",9224
05-0910-000,"RIVERDALE PARK DISTRICT",7669
05-0920-000,"ROBBINS PARK DISTRICT",3529
05-0930-000,"ROLLING MEADOWS PARK DISTRICT",10813
05-0940-000,"ROSEMONT PARK DISTRICT",2010
05-0950-000,"SALT CREEK RURAL PARK DISTRICT",2861
05-0960-000,"SCHAUMBURG PARK DISTRICT",50690
05-0970-000,"SKOKIE PARK DISTRICT",43255
05-0980-000,"SOUTH BARRINGTON PARK DISTRICT",3853
05-1000-000,"STREAMWOOD PARK DISTRICT",21997
05-1010-000,"SUMMIT PARK DISTRICT",4726
05-1020-000,"TINLEY PARK PARK DISTRICT",35572
05-1030-000,"VETERANS PARK DISTRICT",22963
05-1050-000,"WESTCHESTER PARK DISTRICT",12907
05-1070-000,"WESTERN SPRINGS PARK DISTRICT",10373
05-1080-000,"WHEELING PARK DISTRICT",19389
05-1090-000,"WILMETTE PARK DISTRICT",21225
05-1100-000,"WINNETKA PARK DISTRICT",11056
05-1200-000,"WORTH PARK DISTRICT",6723
06-0010-000,"ACORN PUBLIC LIBRARY DISTRICT",20479
06-0020-000,"ALSIP-MERRIONETTE PARK PUBLIC LIBRARY DISTRICT",13878
06-0030-000,"BARRINGTON PUBLIC LIBRARY DISTRICT",15055
06-0040-000,"BARTLETT PUBLIC LIBRARY DISTRICT",7795
06-0050-000,"BEDFORD PARK PUBLIC LIBRARY DISTRICT",403
06-0080-000,"BROADVIEW PUBLIC LIBRARY DISTRICT",5853
06-0090-000,"CRESTWOOD PUBLIC LIBRARY DISTRICT",6318
06-0100-000,"DIXMOOR PUBLIC LIBRARY DISTRICT",1761
06-0110-000,"DOLTON PUBLIC LIBRARY DISTRICT",16096
06-0120-000,"EAST HAZELCREST PUBLIC LIBRARY DISTRICT",914
06-0130-000,"EISENHOWER PUBLIC LIBRARY DISTRICT",14584
06-0140-000,"FORD HEIGHTS PUBLIC LIBRARY DISTRICT",1398
06-0150-000,"FRANKFORT PUBLIC LIBRARY DISTRICT",770
06-0160-000,"FRANKLIN PARK PUBLIC LIBRARY DISTRICT",9962
06-0170-000,"GAIL BORDEN PUBLIC LIBRARY DISTRICT",22677
06-0180-000,"GLENWOOD-LYNWOOD PUBLIC LIBRARY DISTRICT",14137
06-0190-000,"GRANDE PRAIRIE PUBLIC LIBRARY DISTRICT",21984
06-0200-000,"GREEN HILLS PUBLIC LIBRARY DISTRICT",19565
06-0210-000,"HARVEY PUBLIC LIBRARY DISTRICT",12700
06-0220-000,"HODGKINS PUBLIC LIBRARY DISTRICT",844
06-0230-000,"HOMEWOOD PUBLIC LIBRARY DISTRICT",14962
06-0237-000,"INDIAN PRAIRIE PUBLIC LIBRARY DISTRICT",252
06-0240-000,"INDIAN TRAILS PUBLIC LIBRARY DISTRICT",27243
